Customer Key	Customer_F_Name	Customer_L_Name	City	State	State Short Form	Country_Code_key	Date of Birth	Marital Status	MailID	Yearly Income	No of Children	Education	Address Line	Date of First Purchase	Age
CC-06345	Clay	Cheatham	Freiburg	Baden-Württemberg	BW	49	21-Jun-70	M	claycheatham_70@rediffmail.com	3880000	0	High School	6820 Willow Pass Dr	02-May-18	51
CL-05706	Craig	Leslie	Ludwigsburg	Baden-Württemberg	BW	49	29-Apr-95	S	craigleslie_95@yahoo.com	3000000	0	High School	8585 Los Gatos Ct.	28-Jul-18	26
FW-12419	Fred	Wasserman	Sindelfingen	Baden-Württemberg	BW	49	10-May-56	S	fredwasserman_56@yahoo.com	4240000	2	High School	Wolfgangstraße 62	06-Sep-18	65
CS-06284	Carlos	Soltero	VillingenSchwenningen	Baden-Württemberg	BW	49	01-Mar-88	M	carlossoltero_88@gmail.com	557000	2	Partial College	2742 Cincerto Circle	28-May-20	33
TD-32172	Tamara	Dahlen	Bamberg	Bavaria	BY	49	04-May-80	S	tamaradahlen_80@yahoo.com	804400	1	High School	6797 Almondtree Circle	05-May-18	41
TM-32279	Tony	Molinari	Munich	Bavaria	BY	49	21-Jan-60	M	tonymolinari_60@yahoo.com	675000	1	Partial High School	1315 Union St	04-Jun-18	61
LH-20914	Lisa	Hazard	Munich	Bavaria	BY	49	23-Apr-70	M	lisahazard_70@yahoo.com	789000	0	Partial College	8831 Versailles Pl.	05-Jul-18	51
CM-05607	Chuck	Magee	Nuremberg	Bavaria	BY	49	19-Mar-51	M	chuckmagee_51@rediffmail.com	3000000	2	Partial College	Winterfeldtstr 4442	04-Jun-18	70
CY-06880	Craig	Yedwab	Berlin	Berlin	BE	49	04-Nov-89	S	craigyedwab_89@rediffmail.com	789000	2	Partial College	"2, rue de la Cavalerie"	30-May-19	32
SS-30420	Sonia	Sunley	Berlin	Berlin	BE	49	10-Mar-62	M	soniasunley_62@yahoo.com	789000	0	Bachelors	5626 Mt. View Drive	07-Dec-20	59
MC-21043	Matt	Collister	Berlin	Berlin	BE	49	27-Jan-69	S	mattcollister_69@yahoo.com	4240000	0	High School	6027 Lisa Ann Street	08-Jun-20	52
MM-22707	Michelle	Moray	Berlin	Berlin	BE	49	02-Apr-67	M	michellemoray_67@yahoo.com	1200000	0	Partial College	7333 Landana St.	22-May-20	54
EB-11844	Ellis	Ballard	Berlin	Berlin	BE	49	06-Apr-84	S	ellisballard_84@yahoo.com	3880000	2	Partial High School	7396 Stratton Circle	23-May-19	37
