Customer Key	Customer_F_Name	Customer_L_Name	Date of Birth	Marital Status	MailID	Yearly Income	No of Children	Education	Address Line	Date of First Purchase	Age	City	State	State Short Form	Country_Code_key
AC-00254	Anna	Chung	19-Nov-53	M	annachung_53@gmail.com	3880000	1	Partial College	6257 Jennifer Way	13-Jun-21	68	Vijayawada	Andhra Pradesh	AP	91
BP-02928	Becky	Pak	22-Dec-79	S	beckypak_79@gmail.com	3880000	1	Partial High School	7906 Star Tree Court	19-Sep-18	42	Vijayawada	Andhra Pradesh	AP	91
MB-22874	Mick	Brown	30-Aug-78	S	mickbrown_78@rediffmail.com	675000	1	Bachelors	4434 Yosemite Circle	17-Sep-19	43	Visakhapatnam	Andhra Pradesh	AP	91
MF-21227	Maureen	Fritzler	12-Jan-85	M	maureenfritzler_85@gmail.com	1200000	2	Partial High School	4621 Candelero Dr.	09-Jun-21	36	Visakhapatnam	Andhra Pradesh	AP	91
DN-08730	Duane	Noonan	28-Jan-64	S	duanenoonan_64@rediffmail.com	4240000	0	High School	7640 First Ave.	25-Jul-18	57	Visakhapatnam	Andhra Pradesh	AP	91
KL-18493	Ken	Lonsdale	15-Nov-65	S	kenlonsdale_65@gmail.com	789000	1	High School	9941 Graham Ave.	12-Jun-21	56	Guwahati	Assam	AS	91
BG-03478	Barry	Gonzalez	19-Sep-85	M	barrygonzalez_85@yahoo.com	4240000	1	Partial College	125 Keller Ridge	05-Feb-20	36	Aurangabad	Bihar	BR	91
RB-28490	Ross	Baird	22-Jan-64	M	rossbaird_64@gmail.com	4240000	0	Partial High School	1562 Black Walnut	15-Oct-18	57	Aurangabad	Bihar	BR	91
TH-31940	Tracy	Hopkins	18-Oct-58	S	tracyhopkins_58@rediffmail.com	557000	0	Partial College	5203 Foothill Way	04-Apr-18	63	Bihar Sharif	Bihar	BR	91
BD-04173	Bradley	Drucker	30-Oct-56	S	bradleydrucker_56@yahoo.com	4240000	1	Partial High School	4601 San Ramon Road	06-Oct-18	65	Darbhanga	Bihar	BR	91
NW-24176	Natalie	Webber	24-Feb-95	S	nataliewebber_95@yahoo.com	675000	0	Partial High School	1867 Seville	30-Jun-19	26	Patna	Bihar	BR	91
DR-08778	Dan	Reichenbach	18-Aug-67	M	danreichenbach_67@rediffmail.com	789000	0	Partial High School	9855 Norse Ct.	25-May-20	54	Korba	Chhattisgarh	CG	91
AS-00498	Adrian	Shami	09-Nov-52	S	adrianshami_52@yahoo.com	557000	1	Partial College	197 Adobe Dr	09-Jul-21	69	Delhi	Delhi	DL	91
JM-17421	Jill	Matthias	02-Apr-90	S	jillmatthias_90@yahoo.com	3880000	2	High School	4628 Mountain View Place	17-Mar-18	31	Delhi	Delhi	DL	91
TB-31832	Trudy	Brown	11-Nov-64	M	trudybrown_64@gmail.com	3880000	0	Partial High School	8241 San Jose Drive	22-Feb-19	57	Delhi	Delhi	DL	91
MD-23411	Michael	Dominguez	26-Dec-59	S	michaeldominguez_59@yahoo.com	3000000	1	Graduate Degree	3435 San Simeon	24-Sep-18	62	Surat	Gujarat	GJ	91
SV-30458	Seth	Vernon	23-Apr-60	M	sethvernon_60@gmail.com	4240000	2	High School	4041 Jam Way	13-Mar-21	61	Surat	Gujarat	GJ	91
AS-01587	Alan	Schoenberger	15-Dec-91	M	alanschoenberger_91@gmail.com	789000	0	High School	5203 Foothill Way	14-Jul-21	30	Gorakhpur	Haryana	HR	91
PB-25546	Philip	Brown	28-Feb-52	M	philipbrown_52@yahoo.com	675000	0	Partial College	3920 Valley Run	02-May-21	69	Srinagar	Jammu and Kashmir	JK	91
NW-24243	Natalie	Webber	16-Sep-77	S	nataliewebber_77@rediffmail.com	804400	2	Bachelors	6510 Hacienda Drive	13-Apr-21	44	Srinagar	Jammu and Kashmir	JK	91
CR-06245	Cyra	Reiten	08-Aug-75	S	cyrareiten_75@gmail.com	557000	1	Bachelors	9199 Park Glenn	18-Jul-19	46	Srinagar	Jammu and Kashmir	JK	91
AB-01576	Alan	Barnes	03-Oct-76	S	alanbarnes_76@yahoo.com	1200000	1	Partial High School	5587 Esperanza	14-Oct-20	45	Jamshedpur	Jharkhand	JH	91
LS-20654	Lycoris	Saunders	07-Jun-92	M	lycorissaunders_92@gmail.com	557000	1	Partial High School	8817 Cynthia Drive	22-May-20	29	Ranchi	Jharkhand	JH	91
IM-14382	Ionia	McGrath	07-Jan-86	M	ioniamcgrath_86@rediffmail.com	789000	2	Partial High School	3616 Gonzalez Court	13-Apr-18	35	Bangalore	Karnataka	KA	91
JB-15482	Joni	Blumstein	27-Oct-53	S	joniblumstein_53@rediffmail.com	4240000	0	Partial College	4304 Hieber Drive	14-Oct-19	68	Bangalore	Karnataka	KA	91
JP-15983	Jeremy	Pistek	16-Aug-79	M	jeremypistek_79@yahoo.com	789000	0	Partial High School	4427 Langford Court	22-Apr-18	42	Bangalore	Karnataka	KA	91
CY-07473	Craig	Yedwab	18-Nov-78	M	craigyedwab_78@gmail.com	675000	1	Partial High School	5855 W. Cypress Road	08-Apr-19	43	Bangalore	Karnataka	KA	91
AR-00119	Allen	Rosenblatt	25-Sep-92	M	allenrosenblatt_92@yahoo.com	789000	1	Partial High School	6468 Gatewood Court	11-Jun-19	29	Bijapur	Karnataka	KA	91
CA-06938	Carol	Adams	12-Oct-82	M	caroladams_82@gmail.com	3880000	0	High School	9111 Almondwood Drive	28-Oct-19	39	Bijapur	Karnataka	KA	91
TA-31685	Tom	Ashbrook	05-Jun-65	M	tomashbrook_65@gmail.com	675000	2	Partial College	3149 Blue Circle	24-Jun-19	56	Mangalore	Karnataka	KA	91
ON-24696	Odella	Nelson	10-Jan-54	M	odellanelson_54@yahoo.com	4240000	1	High School	224 Terrace Drive	04-Jan-18	67	Kollam	Kerala	KL	91
DK-08090	Damala	Kotsonis	22-Nov-85	S	damalakotsonis_85@yahoo.com	804400	0	Graduate Degree	8934 Lacanda	07-Jun-21	36	Kozhikode	Kerala	KL	91
SU-30710	Stephanie	Ulpright	03-Sep-52	S	stephanieulpright_52@gmail.com	3880000	0	High School	163 St. John Lane	05-Aug-19	69	Thiruvananthapuram	Kerala	KL	91
JD-15123	John	Dryer	14-Jul-50	M	johndryer_50@yahoo.com	4240000	0	Bachelors	3143 N. Main	18-Sep-19	71	Thiruvananthapuram	Kerala	KL	91
PT-25924	Pete	Takahito	27-Apr-65	S	petetakahito_65@gmail.com	557000	1	Partial High School	3395 Farm Bureau Rd	04-Sep-20	56	Thiruvananthapuram	Kerala	KL	91
BT-04098	Brian	Thompson	10-Apr-78	M	brianthompson_78@yahoo.com	804400	0	Partial College	7855 Waterhigh Street	19-Apr-18	43	Thiruvananthapuram	Kerala	KL	91
BF-03534	Barry	Franz	20-Jan-75	M	barryfranz_75@yahoo.com	4240000	1	High School	609 Power Ave.	28-Dec-18	46	Bhopal	Madhya Pradesh	MP	91
DL-09014	Denise	Leinenbach	24-Apr-68	S	deniseleinenbach_68@rediffmail.com	675000	2	Graduate Degree	30 Rolling Green Circle	01-Aug-18	53	Jabalpur	Madhya Pradesh	MP	91
RH-27196	Rick	Hansen	13-Mar-78	M	rickhansen_78@rediffmail.com	789000	2	High School	"376, rue de Terre Neuve"	06-Mar-21	43	Ratlam	Madhya Pradesh	MP	91
TB-33106	Thomas	Brumley	26-Feb-72	M	thomasbrumley_72@yahoo.com	1200000	2	High School	4911 Peachwillow Lane	04-Aug-21	49	Ujjain	Madhya Pradesh	MP	91
SE-29867	Sanjit	Engle	10-Jul-53	S	sanjitengle_53@gmail.com	3000000	1	Partial High School	9391 80th St	09-Jan-21	68	Akola	Maharashtra	MH	91
TP-32180	Tracy	Poddar	02-Jan-57	M	tracypoddar_57@gmail.com	3000000	2	Partial College	4101 Buckthorn Court	16-Apr-20	64	Bhiwandi	Maharashtra	MH	91
AW-00899	Arthur	Wiediger	19-Apr-91	S	arthurwiediger_91@rediffmail.com	789000	2	Partial College	"1020, quai de Grenelle"	20-Sep-21	30	Durgapur	Maharashtra	MH	91
BM-02890	Brendan	Murry	26-Jul-66	M	brendanmurry_66@rediffmail.com	675000	0	Partial College	Rt. 470 Box A	10-Jul-20	55	Durgapur	Maharashtra	MH	91
TS-33674	Troy	Staebel	30-Apr-74	M	troystaebel_74@rediffmail.com	675000	2	Partial College	"75, quai de Grenelle"	17-Oct-21	47	Ichalkaranji	Maharashtra	MH	91
RP-27228	Resi	Pšlking	22-Oct-67	M	resipšlking_67@yahoo.com	789000	2	Bachelors	4764 Gatter Court	09-Jul-18	54	Kalyan	Maharashtra	MH	91
RS-27281	Roy	Skaria	21-Jan-85	S	royskaria_85@gmail.com	1200000	2	High School	274 Diane Ct	31-Jan-18	36	Malegaon	Maharashtra	MH	91
TT-33078	Tonja	Turnell	20-Sep-91	M	tonjaturnell_91@gmail.com	4240000	1	Bachelors	5870 Matheson Road	17-Mar-18	30	Malegaon	Maharashtra	MH	91
HP-13920	Harold	Pawlan	30-Nov-90	S	haroldpawlan_90@yahoo.com	3880000	2	Partial College	"33, allée des Princes"	05-Jul-19	31	Mumbai	Maharashtra	MH	91
