Customer Key	Customer_F_Name	Customer_L_Name	City	State	State Short Form	Country_Code_key	Marital Status	MailID	Yearly Income	No of Children	Education	Address Line	Date of First Purchase	Age	Date of Birth
TC-30314	Tamara	Chand	Banda Aceh	Aceh	BA	62	S	tamarachand_62@gmail.com	789000	0	Graduate Degree	1811 Cashew Lane	28-Nov-19	59	16-Oct-62
ML-23324	Marina	Lichtenstein	Denpasar	Bali	BA	62	S	marinalichtenstein_86@gmail.com	789000	2	Partial High School	9639 M St.	22-Jul-20	35	05-Oct-86
RW-27621	Robert	Waldorf	Jakarta	Jakarta	JK	62	M	robertwaldorf_94@rediffmail.com	3000000	2	Partial High School	302 Briarcliff Ct.	21-Oct-20	27	28-Apr-94
ML-23823	Maris	LaWare	Jakarta	Jakarta	JK	62	M	marislaware_90@rediffmail.com	804400	2	Partial High School	3577 Pembroke Court	19-Oct-21	31	17-Feb-90
BT-03424	Brad	Thomas	Jakarta	Jakarta	JK	62	M	bradthomas_68@yahoo.com	675000	1	Partial College	376 Amador Valley Blvd.	22-Aug-21	53	28-Nov-68
PO-34438	Philisse	Overcash	Jakarta	Jakarta	JK	62	S	philisseovercash_87@gmail.com	1200000	0	Partial College	4058 First Ave	14-Dec-18	34	30-Oct-87
AA-00610	Anna	Andreadi	Jakarta	Jakarta	JK	62	M	annaandreadi_51@yahoo.com	804400	1	Partial High School	4250 Park Tree Ct	24-Sep-19	70	10-Jul-51
RS-28364	Ricardo	Sperren	Jakarta	Jakarta	JK	62	S	ricardosperren_51@yahoo.com	789000	0	High School	4594 Hill Drive	11-Feb-18	70	25-Mar-51
PK-26383	Pete	Kriz	Jakarta	Jakarta	JK	62	M	petekriz_87@yahoo.com	3000000	1	Bachelors	5407 Oakgrove	25-Jan-19	34	05-Mar-87
BS-03162	Brian	Stugart	Jakarta	Jakarta	JK	62	M	brianstugart_79@rediffmail.com	557000	0	Partial College	5464 Muy Verde Cr	09-Aug-19	42	16-May-79
BT-03356	Brad	Thomas	Jakarta	Jakarta	JK	62	S	bradthomas_78@yahoo.com	4240000	1	High School	5806 West Slough Rd	25-Feb-18	43	15-Aug-78
CJ-05354	Caroline	Jumper	Jakarta	Jakarta	JK	62	M	carolinejumper_67@rediffmail.com	557000	2	Partial High School	5938 William Way	28-Mar-19	54	27-May-67
KC-18864	Kelly	Collister	Jakarta	Jakarta	JK	62	M	kellycollister_69@yahoo.com	675000	1	Partial College	6199 Mcelroy	01-Nov-19	52	16-Dec-69
DB-09412	Deborah	Brumfield	Jakarta	Jakarta	JK	62	S	deborahbrumfield_55@yahoo.com	789000	1	Partial College	6453 Pacific	15-Mar-21	66	18-Jan-55
SW-28956	Sean	Wendt	Jakarta	Jakarta	JK	62	S	seanwendt_56@rediffmail.com	557000	0	High School	7656 Ramsey Circle	21-Sep-21	65	06-Jun-56
CJ-05351	Caroline	Jumper	Jakarta	Jakarta	JK	62	M	carolinejumper_53@yahoo.com	3000000	0	Partial High School	8308 Fox Way	22-Dec-19	68	13-Dec-53
AH-00068	Aaron	Hawkins	Jakarta	Jakarta	JK	62	M	aaronhawkins_64@yahoo.com	804400	1	Partial College	8634 Valley Blvd.	28-Jul-19	57	19-Aug-64
ED-12106	Emily	Ducich	Jakarta	Jakarta	JK	62	S	emilyducich_94@gmail.com	804400	0	Partial College	8866 Alpha Way	23-Aug-21	27	20-Aug-94
NB-24869	Nicole	Brennan	Jakarta	Jakarta	JK	62	M	nicolebrennan_62@rediffmail.com	1200000	1	High School	8929 Dayton Court	12-Mar-20	59	02-May-62
PB-25852	Peter	BŸhler	Jakarta	Jakarta	JK	62	S	peterbÿhler_59@yahoo.com	804400	1	Partial College	9593 Singingwood Court	18-Sep-20	62	17-Dec-59
ZD-34491	Zuschuss	Donatelli	Jakarta	Jakarta	JK	62	S	zuschussdonatelli_67@rediffmail.com	557000	1	Partial High School	9736 Montana	31-Jan-21	54	20-Apr-67
SK-27286	Sally	Knutson	Jakarta	Jakarta	JK	62	S	sallyknutson_63@gmail.com	557000	1	Partial College	9897 Bayview Cir	04-Jul-18	58	30-Mar-63
EK-11297	Eileen	Kiefer	Jambi	Jambi	JA	62	M	eileenkiefer_59@yahoo.com	4240000	2	Bachelors	4666 Sierra Ridge	11-Mar-21	62	19-Jun-59
HK-14431	Heather	Kirkland	Bandung	Jawa Barat	JB	62	S	heatherkirkland_81@rediffmail.com	1200000	0	Partial College	1680 I St.	16-Oct-18	40	05-Dec-81
JP-15859	Jeremy	Pistek	Bandung	Jawa Barat	JB	62	M	jeremypistek_78@gmail.com	3000000	0	Partial High School	2489 Teakwood Drive	11-Feb-21	43	02-Feb-78
LW-19575	Laurel	Workman	Bandung	Jawa Barat	JB	62	S	laurelworkman_67@yahoo.com	557000	1	Partial High School	4668 Chilpancingo Park	18-Nov-18	54	26-Jan-67
OT-24774	Olvera	Toch	Bandung	Jawa Barat	JB	62	S	olveratoch_89@gmail.com	804400	0	Partial College	6782 First Ave	27-Jan-20	32	21-Dec-89
TB-33495	Tim	Brockman	Bandung	Jawa Barat	JB	62	M	timbrockman_65@yahoo.com	557000	0	High School	7355 Macarthur Avenue	01-Mar-19	56	11-Oct-65
SH-26762	Sally	Hughsby	Bekasi	Jawa Barat	JB	62	M	sallyhughsby_56@rediffmail.com	675000	1	Partial High School	1102 Ravenwood	02-Jul-18	65	08-Oct-56
BT-04913	Bradley	Talbott	Bekasi	Jawa Barat	JB	62	M	bradleytalbott_86@rediffmail.com	675000	2	High School	1601 Crown Court	06-Sep-21	35	29-Nov-86
ES-11835	Erin	Smith	Bekasi	Jawa Barat	JB	62	M	erinsmith_95@gmail.com	1200000	2	Bachelors	3857 Westchester Pl.	02-Apr-18	26	13-Jan-95
JO-17078	Jas	O'Carroll	Bekasi	Jawa Barat	JB	62	M	jaso'carroll_72@yahoo.com	789000	0	Graduate Degree	5553 Kahrs Avenue	12-Oct-18	49	31-Aug-72
BF-03968	Ben	Ferrer	Bekasi	Jawa Barat	JB	62	S	benferrer_93@gmail.com	675000	1	Partial College	611 Hilltop Dr.	13-Jun-21	28	28-Mar-93
TC-32622	Theresa	Coyne	Bekasi	Jawa Barat	JB	62	S	theresacoyne_83@rediffmail.com	3000000	1	Partial High School	6299 Elmonte Drive	22-Oct-20	38	27-Feb-83
Dp-08269	Dean	percer	Bekasi	Jawa Barat	JB	62	S	deanpercer_75@rediffmail.com	557000	1	High School	8991 Temple Court	04-Jul-19	46	23-Feb-75
